FERIADOS,RASON
01/01/2016,inamovible
08/02/2016,inamovible
09/02/2016,inamovible
24/03/2016,inamovible
25/03/2016,inamovible
02/04/2016,inamovible
22/04/2016,no laborable
23/04/2016,no laborable
24/04/2016,no laborable
28/04/2016,no laborable
29/04/2016,no laborable
30/04/2016,no laborable
01/05/2016,inamovible
25/05/2016,inamovible
20/06/2016,inamovible
08/07/2016,puente
09/07/2016,inamovible
15/08/2016,trasladable
04/10/2016,no laborable
10/10/2016,trasladable
12/10/2016,no laborable
28/11/2016,trasladable
08/12/2016,inamovible
09/12/2016,puente
25/12/2016,inamovible
01/01/2017,inamovible
27/02/2017,inamovible
28/02/2017,inamovible
24/03/2017,inamovible
30/03/2017,inamovible
02/04/2017,inamovible
13/04/2017,no laborable
14/04/2017,inamovible
30/04/2017,no laborable
01/05/2017,inamovible
25/05/2017,inamovible
20/06/2017,inamovible
09/07/2017,inamovible
21/08/2017,trasladable
01/09/2017,no laborable
21/09/2017,no laborable
22/09/2017,no laborable
02/10/2017,no laborable
16/10/2017,trasladable
20/11/2017,trasladable
08/12/2017,inamovible
25/12/2017,inamovible
01/01/2018,inamovible
12/02/2018,inamovible
13/02/2018,inamovible
24/03/2018,inamovible
29/03/2018,no laborable
30/03/2018,inamovible
02/04/2018,inamovible
30/04/2018,no laborable
01/05/2018,inamovible
25/05/2018,inamovible
20/06/2018,inamovible
09/07/2018,inamovible
20/08/2018,trasladable
15/10/2018,trasladable
19/11/2018,trasladable
08/12/2018,inamovible
24/12/2018,no laborable
25/12/2018,inamovible
31/12/2018,no laborable
